EventID,OT,Latitude,Longitude,Depth,Magnitude,EvType
147,2015-11-23 20:41:21.500,17,-98.9,34,5.6,earthquake
148,2015-11-24 02:46:18.300,-24.8,-175.6,10,5.4,earthquake
149,2015-11-24 09:14:16.000,-31.8,-72.2,39.1,5,earthquake
150,2015-11-24 13:21:35.800,18.8,145.3,586.2,6,earthquake
151,2015-11-24 20:45:02.300,-0.1,-17.8,10,5.5,earthquake
152,2015-11-24 22:45:38.100,-10.5,-70.9,600.6,7.6,earthquake
153,2015-11-25 04:46:50.800,31.4,140.1,124.7,5,earthquake
154,2015-11-25 11:23:02.000,4.2,125.8,141,5,earthquake
155,2015-11-25 18:57:41.600,1.4,126.3,33.2,5.7,earthquake
156,2015-11-25 21:17:18.500,31.9,49.5,12,5.4,earthquake
157,2015-11-26 05:45:18.300,-9.2,-71.3,599.4,6.7,earthquake
158,2015-11-27 21:00:23.000,-24.8,-70.6,35,6.2,earthquake
159,2015-11-29 18:52:49.500,-23.6,-64.7,11,5.8,earthquake
160,2015-11-30 14:45:24.300,-24.3,-67.2,179.3,5.3,earthquake
161,2015-11-30 20:19:05.300,-8.8,67.7,10,5.5,earthquake
162,2015-12-01 06:13:43.400,41.4,73.3,40.8,5.1,earthquake
163,2015-12-01 07:26:14.100,-31.6,-71.5,40.2,5,earthquake
164,2015-12-01 12:14:21.800,1,127.5,10,5.1,earthquake
165,2015-12-01 13:39:55.100,-16.4,-71.1,117.3,5,earthquake
166,2015-12-01 17:08:25.100,-14.9,-176.6,10,5.8,earthquake
167,2015-12-02 10:08:29.000,-6.2,154.7,56.1,5.3,earthquake
168,2015-12-02 23:27:09.900,39.3,40.3,10,5.4,earthquake
169,2015-12-03 08:32:46.100,-29.8,-71.7,34.8,5.2,earthquake
170,2015-12-03 14:31:13.100,22.6,121.4,23.3,5.1,earthquake
171,2015-12-03 15:29:08.500,-5.7,149.8,144.2,5.3,earthquake
172,2015-12-03 15:55:15.100,-34,-109.3,14.7,5,earthquake
173,2015-12-04 04:25:50.800,21.5,145.7,10,5.4,earthquake
174,2015-12-04 19:23:16.300,29,52,25.2,5,earthquake
175,2015-12-04 20:22:18.100,-54,-2.4,14.2,5,earthquake
176,2015-12-04 22:25:00.100,-47.6,85.1,35,7.1,earthquake
177,2015-12-05 02:10:00.700,-23.5,-64.6,11.6,5.3,earthquake
178,2015-12-05 22:59:43.900,43.9,85.3,10,5,earthquake
179,2015-12-06 04:03:08.200,-7.2,155,11.1,5.3,earthquake
180,2015-12-06 17:09:29.300,-18.2,-178.7,547,5.6,earthquake
181,2015-12-06 19:16:37.000,-48.2,-10.1,10,5,earthquake
182,2015-12-07 01:47:08.500,-30.1,-177.6,32.5,5.4,earthquake
183,2015-12-07 02:54:39.700,-17.7,-174.4,10,5.2,earthquake
184,2015-12-07 07:50:06.600,38.3,72.8,26,7.2,earthquake
185,2015-12-07 08:30:56.700,41.7,74.6,21.5,5.5,earthquake
186,2015-12-07 10:04:58.300,38.6,73.2,19.9,5.4,earthquake
187,2015-12-07 22:53:35.100,14.2,-90.9,84,5.7,earthquake
188,2015-12-08 12:56:07.400,-30.8,-71.8,25,5.6,earthquake
189,2015-12-08 18:35:19.400,1,127.5,10,5,earthquake
190,2015-12-09 10:21:50.400,-4.1,129.5,33.9,6.9,earthquake
191,2015-12-09 11:15:29.200,-4.3,129.7,25.5,5.2,earthquake
192,2015-12-09 12:06:24.200,-4.1,129.6,22.2,5.2,earthquake
193,2015-12-09 12:58:01.800,-16.7,175.2,10,6.1,earthquake
194,2015-12-09 13:32:56.100,-15.2,-177.8,401.5,5.3,earthquake
195,2015-12-09 14:14:01.400,-4.1,129.6,10,5.4,earthquake
196,2015-12-09 14:56:58.000,-4.1,129.5,10,5.4,earthquake
197,2015-12-09 16:06:10.400,-4,129.5,25.8,5,earthquake
198,2015-12-09 16:35:44.700,-4.1,129.5,26.8,5,earthquake
199,2015-12-09 19:17:38.300,38.4,72.9,10,5,earthquake
200,2015-12-09 21:52:42.200,-37.7,51.3,10,5.3,earthquake
201,2015-12-10 00:09:32.800,-35.9,-73.3,10,5.5,earthquake
202,2015-12-10 02:04:43.700,-4.2,129.5,30.2,5.2,earthquake
203,2015-12-10 12:05:14.700,-58.9,-23.9,10,5.7,earthquake
204,2015-12-10 15:03:26.400,-17,175.3,16.2,5.1,earthquake
205,2015-12-10 18:55:31.900,-5.4,129.4,254.4,5,earthquake
206,2015-12-11 03:20:48.800,-5,103,48.3,5.1,earthquake
207,2015-12-11 22:05:36.800,-47.6,85.2,10,5,earthquake
208,2015-12-12 15:08:58.000,-35,-71.9,37.9,5,earthquake
209,2015-12-12 23:32:54.900,-41.1,-90.1,10,5.5,earthquake
210,2015-12-13 01:47:05.400,3.5,127.4,10,5.3,earthquake
211,2015-12-13 05:53:20.000,55,111.6,12.3,5.1,earthquake
212,2015-12-13 06:42:09.100,-6.9,129.9,76.8,5.4,earthquake
213,2015-12-14 01:45:58.800,-4.1,129.5,10,5.6,earthquake
214,2015-12-14 21:12:01.800,52.8,-167.9,46.7,5.2,earthquake
215,2015-12-14 22:56:17.200,-5.4,153.1,37.5,5,earthquake
216,2015-12-15 00:20:33.500,25.7,141.9,55.5,5.1,earthquake
217,2015-12-15 13:29:36.000,-15.6,167.3,28.5,5.2,earthquake
218,2015-12-15 17:08:25.100,-56.4,-25.8,12.9,5.1,earthquake
219,2015-12-15 17:48:50.200,-56.4,-25.7,20.1,5,earthquake
220,2015-12-16 20:38:37.100,-19.6,-174.9,37.3,5.3,earthquake
221,2015-12-17 12:44:03.200,17.8,120.6,70,5.3,earthquake
222,2015-12-17 19:49:53.200,15.8,-93.6,86,6.6,earthquake
223,2015-12-17 21:31:39.600,48,146.9,443.4,5.4,earthquake
224,2015-12-18 11:46:48.300,-1.3,-15.8,10,5.4,earthquake
225,2015-12-18 22:16:56.500,29.4,81.7,10,5.4,earthquake
226,2015-12-19 02:10:53.300,-18.4,169.4,10,6,earthquake
227,2015-12-19 04:27:32.800,2.1,-84.4,29.6,5,earthquake
228,2015-12-19 15:03:36.000,-8.4,107,27,5.5,earthquake
229,2015-12-19 19:25:05.500,-30.6,-71.3,47.6,5.8,earthquake
230,2015-12-20 07:29:11.000,-28.3,-176.3,10,5.2,earthquake
231,2015-12-20 09:28:51.500,12.9,124.4,107.8,5.2,earthquake
232,2015-12-20 18:47:35.500,3.6,117.6,6.9,6.1,earthquake
233,2015-12-20 22:04:34.900,-6.3,154.7,52.9,5,earthquake
234,2015-12-21 12:37:12.300,-18.2,-174.9,197.7,5,earthquake
