id,time,lat,lon,depth,mag,event-type
us1000346a,2015-08-22T06:25:38.710,14.7287,147.0441,37.1,5.2,earthquake
us100034a7,2015-08-23T04:48:48.220,13.1055,-90.2094,37.9,5.3,earthquake
us100034be,2015-08-23T09:02:05.080,27.8355,86.0795,10.0,5,earthquake
us100034du,2015-08-23T23:10:04.420,-29.7191,-71.2958,31.1,5.7,earthquake
us100034fl,2015-08-24T09:41:26.630,-30.6502,-178.7298,228.0,6,earthquake
us100034fr,2015-08-24T11:50:58.370,56.1884,164.2678,8.2,5.3,earthquake
us100034nc,2015-08-25T03:29:32.990,5.0170,93.3168,14.9,5.1,earthquake
us100034x5,2015-08-25T22:51:36.710,32.0765,131.7330,36.5,5.2,earthquake
us10003508,2015-08-26T13:51:35.570,-57.4999,-25.8754,32.0,5.8,earthquake
us1000355w,2015-08-26T21:56:37.460,27.0723,-44.4539,10.0,5.2,earthquake
us1000359m,2015-08-27T10:50:57.000,26.9226,-44.2516,10.0,5.1,earthquake
us100035bs,2015-08-27T15:06:25.160,-19.6980,-176.4379,10.0,5.4,earthquake
us100035gy,2015-08-27T19:10:12.190,45.2784,147.1570,146.4,5.2,earthquake
us100035pm,2015-08-28T14:46:20.180,36.3989,140.8818,35.0,5,earthquake
us100035pz,2015-08-28T15:08:30.880,52.1008,156.8084,171.5,5,earthquake
us100035q5,2015-08-28T15:30:58.090,23.1290,142.5234,103.8,5.4,earthquake
us100035y3,2015-08-29T03:53:23.170,19.1695,145.6204,120.1,5.2,earthquake
us1000360t,2015-08-29T20:02:26.650,-10.8411,116.3414,34.4,5.1,earthquake
us1000363d,2015-08-30T05:30:57.280,29.6583,130.3794,29.7,5.1,earthquake
us1000369f,2015-08-31T06:07:39.990,-31.0612,-177.6529,10.0,5,earthquake
us1000369t,2015-08-31T08:12:49.160,2.7089,127.8178,10.0,5.1,earthquake
gcmt20150901032432,2015-09-01T03:24:32.000,-56.2500,-123.7500,10.0,5.2,earthquake
gcmt20150901075152,2015-09-01T07:51:52.000,-63.0000,-159.0000,10.0,5,earthquake
us20003fax,2015-09-01T08:57:21.730,-19.1578,167.8340,29.1,5.1,earthquake
us20003fck,2015-09-01T13:24:45.100,23.8865,121.5205,19.1,5,earthquake
us20003fe2,2015-09-01T15:24:08.540,31.2841,141.7062,10.0,5.6,earthquake
us20003feg,2015-09-01T15:25:09.520,31.1806,141.6000,8.0,6,earthquake
us20003fe4,2015-09-01T15:28:51.000,-19.7850,-69.2450,97.2,5.4,earthquake
us20003fej,2015-09-01T16:08:26.160,-29.6825,178.6851,565.5,5.1,earthquake
