w,EqGPStime,lat,lon,depth,Mag
123,2015-12-04 20:22:54.100000,-54.0,-2.4,14.2,5.0
124,2016-01-18 18:24:54.400000,-21.4,176.1,7.0,5.8
125,2016-01-18 18:45:44.200000,-34.6,179.9,75.0,5.0
126,2015-11-02 03:04:44.300000,-18.2,-177.8,608.4,5.2
127,2015-12-12 15:09:34,-35.0,-71.9,37.9,5.0
128,2015-12-03 14:31:49.100000,22.6,121.4,23.3,5.1
129,2015-12-20 22:05:10.900000,-6.3,154.7,52.9,5.0
130,2015-12-04 04:26:26.800000,21.5,145.7,10.0,5.4
131,2015-12-29 02:54:42,6.9,-76.7,5.7,5.0
132,2015-12-14 01:46:34.800000,-4.1,129.5,10.0,5.6
133,2015-12-21 12:37:48.300000,-18.2,-174.9,197.7,5.0
134,2015-12-05 23:00:19.900000,43.9,85.3,10.0,5.0
135,2015-11-14 19:20:57.400000,31.4,128.8,10.0,5.7
136,2015-11-01 21:10:16.800000,22.8,121.7,7.0,5.5
137,2015-11-08 13:24:23.800000,6.8,94.5,9.8,5.2
138,2015-11-08 14:34:41.400000,6.7,94.4,10.0,5.1
139,2015-09-19 12:52:56.900000,-32.3,-72.1,18.0,6.2
140,2016-01-08 02:17:55.400000,-13.3,-70.7,10.0,5.0
141,2015-12-10 02:05:19.700000,-4.2,129.5,30.2,5.2
142,2015-12-09 16:36:20.700000,-4.1,129.5,26.8,5.0
143,2015-12-09 16:06:46.400000,-4.0,129.5,25.8,5.0
144,2016-01-07 20:24:15.800000,49.4,155.3,75.6,5.2
145,2016-01-06 01:30:37.500000,41.3,129.0,0.0,5.1
146,2015-09-18 16:00:18.600000,15.3,-46.0,10.0,6.0
147,2015-11-17 17:30:12.300000,40.4,73.2,18.0,5.6
148,2016-01-18 19:22:26.200000,-0.3,129.5,10.0,5.2
149,2015-10-22 23:08:15,50.8,-130.0,10.0,5.1
150,2016-01-08 01:12:37,-30.7,-71.7,30.9,5.6
151,2016-01-07 10:51:07.900000,-1.0,-16.0,10.0,5.1
152,2015-11-18 04:39:26.900000,31.4,129.0,27.5,5.1
153,2015-11-02 03:35:39.500000,11.9,-88.9,28.3,5.1
154,2015-11-08 11:55:15.300000,6.8,94.6,10.1,5.1
155,2016-01-12 09:45:47.600000,-31.3,58.1,10.0,5.9
156,2015-11-08 23:48:19.700000,-56.0,-27.3,75.1,5.1
157,2015-12-10 00:10:08.800000,-35.9,-73.3,10.0,5.5
158,2015-11-08 15:41:32.400000,48.4,154.8,49.5,5.2
159,2015-12-05 02:10:36.700000,-23.5,-64.6,11.6,5.3
160,2016-01-06 04:59:32.400000,-54.5,-136.8,14.5,5.3
161,2015-12-19 15:04:12,-8.4,107.0,27.0,5.5
162,2016-01-13 18:29:48,-21.9,-174.5,35.0,5.2
163,2016-01-11 23:40:09.600000,-7.0,128.0,251.3,5.2
164,2015-12-20 07:29:47,-28.3,-176.3,10.0,5.2
165,2016-01-14 11:04:54,-15.6,-177.2,10.0,5.8
166,2015-11-18 01:59:23,-6.5,130.3,116.0,5.2
167,2015-11-08 19:15:23.400000,7.0,94.5,10.0,5.6
168,2016-01-05 22:00:26.200000,22.0,143.7,158.4,5.9
169,2015-09-12 20:33:03,-32.6,-178.0,8.0,5.9
170,2016-01-19 03:22:38.400000,-6.8,155.2,46.4,5.2
171,2016-01-19 16:54:59.800000,-22.9,171.5,10.0,5.3
172,2015-12-04 19:23:52.300000,29.0,52.0,25.2,5.0
173,2015-11-24 20:45:38.300000,-0.1,-17.8,10.0,5.5
174,2015-11-17 12:51:39.600000,1.5,126.5,10.0,5.0
175,2015-12-29 01:52:17.900000,-6.3,154.8,28.7,5.8
176,2015-12-31 10:57:34.100000,11.2,-86.6,20.0,5.8
177,2015-11-01 15:16:53.500000,-23.2,-68.4,111.0,5.8
