w,EqGPStime,lat,lon,depth,Mag
188,2015-11-28 02:51:43.800000,43.4,146.4,69.0,5.6
189,2016-01-07 20:24:15.800000,49.4,155.3,75.6,5.2
190,2015-12-04 20:22:54.100000,-54.0,-2.4,14.2,5.0
191,2015-11-13 12:22:13,17.3,147.2,16.0,5.4
192,2015-11-13 12:55:14.400000,17.3,147.2,10.0,5.1
193,2016-01-18 19:22:26.200000,-0.3,129.5,10.0,5.2
194,2015-11-14 19:20:57.400000,31.4,128.8,10.0,5.7
195,2015-12-24 23:11:34.200000,-7.2,129.0,119.0,5.8
196,2015-09-21 05:40:10.900000,-31.6,-71.7,30.0,6.1
197,2015-12-25 07:44:26,-15.3,167.6,121.4,5.1
198,2015-10-11 13:32:38.900000,46.7,152.5,64.2,5.0
199,2016-01-07 02:53:11.700000,51.8,-175.4,44.4,5.1
200,2015-12-13 06:42:45.100000,-6.9,129.9,76.8,5.4
201,2015-11-17 12:51:39.600000,1.5,126.5,10.0,5.0
202,2015-10-20 10:06:50,-30.8,-71.4,46.0,5.0
203,2015-11-14 16:54:07.300000,6.8,94.5,10.0,5.3
204,2015-12-05 02:10:36.700000,-23.5,-64.6,11.6,5.3
205,2015-12-09 12:07:00.200000,-4.1,129.6,22.2,5.2
206,2015-12-17 12:44:39.200000,17.8,120.6,70.0,5.3
207,2015-12-26 11:01:29,35.5,27.4,36.8,5.2
208,2016-01-02 04:22:55.700000,44.9,130.0,583.1,5.7
209,2015-11-02 03:04:44.300000,-18.2,-177.8,608.4,5.2
210,2015-12-23 10:09:25.800000,-6.9,155.1,34.1,5.0
211,2016-01-07 10:51:07.900000,-1.0,-16.0,10.0,5.1
212,2015-12-05 23:00:19.900000,43.9,85.3,10.0,5.0
213,2016-01-08 02:17:55.400000,-13.3,-70.7,10.0,5.0
214,2016-01-12 09:45:47.600000,-31.3,58.1,10.0,5.9
215,2015-12-23 06:43:58,49.3,155.6,47.8,5.0
216,2015-11-19 04:16:28.600000,27.9,85.7,16.5,5.0
217,2015-10-22 23:08:15,50.8,-130.0,10.0,5.1
218,2016-01-10 17:41:25.500000,39.6,34.3,10.0,5.0
219,2016-01-10 17:11:24.800000,-20.8,-178.4,593.4,5.0
220,2016-01-01 02:01:15.900000,-50.6,139.4,10.0,6.3
221,2015-12-18 11:47:24.300000,-1.3,-15.8,10.0,5.4
222,2016-01-19 03:22:38.400000,-6.8,155.2,46.4,5.2
223,2015-11-28 14:47:55.300000,-7.0,106.0,50.5,5.4
224,2015-11-28 13:39:59.300000,3.7,127.0,68.6,5.2
225,2015-10-19 14:31:35,-7.8,102.4,10.0,5.0
226,2015-12-18 22:17:32.500000,29.4,81.7,10.0,5.4
227,2015-11-19 03:48:07.800000,-32.5,-176.7,39.5,5.1
228,2015-10-05 01:10:11.400000,-35.1,180.0,41.6,5.0
229,2016-01-14 05:40:15.700000,-16.2,-174.1,139.9,5.1
230,2015-10-12 10:04:52,34.3,98.2,11.4,5.1
231,2015-12-19 02:11:29.300000,-18.4,169.4,10.0,6.0
232,2015-12-31 22:22:53.300000,51.7,-173.5,39.9,5.0
233,2015-12-19 04:28:08.800000,2.1,-84.4,29.6,5.0
234,2015-12-25 17:58:41,-40.7,-86.4,10.0,5.8
235,2015-12-19 19:25:41.500000,-30.6,-71.3,47.6,5.8
236,2015-11-23 11:19:29.600000,-53.0,21.8,10.0,5.0
237,2015-11-20 14:51:16.300000,1.0,127.5,10.0,5.1
238,2016-01-10 12:12:38.400000,-57.7,-147.9,4.0,5.6
239,2015-11-07 10:54:20.200000,-30.7,-71.4,42.0,5.7
240,2015-11-07 10:06:50.800000,-18.2,-174.1,10.0,5.3
241,2015-10-12 04:36:16.800000,7.5,-77.5,10.0,5.2
242,2015-10-21 06:05:25.200000,37.3,141.1,24.2,5.3
243,2015-10-12 08:05:37.600000,-40.6,176.3,22.0,5.6
244,2015-11-16 20:52:55.700000,-30.3,-72.0,7.8,5.0
245,2015-12-19 15:04:12,-8.4,107.0,27.0,5.5
246,2015-12-22 13:05:46.800000,-28.3,-176.4,10.0,5.2
247,2015-12-06 17:10:05.300000,-18.2,-178.7,547.0,5.6
248,2015-11-28 05:45:16.100000,-30.4,-72.2,10.0,5.6
249,2016-01-06 04:59:32.400000,-54.5,-136.8,14.5,5.3
250,2015-09-19 09:07:45.500000,-31.1,-71.6,28.0,5.7
251,2015-09-19 08:32:00.600000,-30.1,-72.2,8.0,5.4
252,2016-01-10 13:34:10.300000,-31.3,-71.8,15.7,5.0
253,2015-10-15 10:08:04.100000,-2.5,-78.8,97.1,5.4
254,2015-11-07 13:45:20.700000,35.9,140.0,107.5,5.0
255,2015-12-13 05:53:56,55.0,111.6,12.3,5.1
256,2016-01-01 15:02:51.600000,-29.1,-177.1,38.3,5.8
257,2015-09-28 01:02:41.400000,20.1,-45.5,10.0,5.1
258,2015-09-28 00:42:59.600000,20.1,-45.5,10.0,5.4
259,2015-09-28 00:33:10.500000,20.3,-45.7,10.0,5.4
260,2015-11-20 18:00:40.400000,8.5,-71.4,10.0,5.0
261,2015-12-30 11:09:10.700000,-21.9,-174.5,32.2,5.1
262,2016-01-08 13:29:40,-30.8,-13.8,10.0,5.0
263,2015-11-07 06:59:06.300000,8.5,-71.4,15.1,5.3
264,2015-11-22 15:34:43.900000,-53.7,140.5,10.0,5.0
265,2015-12-06 04:03:44.200000,-7.2,155.0,11.1,5.3
266,2015-10-19 13:51:17.600000,13.9,120.6,106.0,5.8
267,2016-01-08 22:22:08.400000,-9.4,117.7,88.9,5.4
268,2015-11-24 02:46:54.300000,-24.8,-175.6,10.0,5.4
269,2015-11-29 18:53:25.500000,-23.6,-64.7,11.0,5.8
270,2015-12-26 18:00:13.100000,-31.8,-72.1,10.0,5.1
271,2015-12-07 01:47:44.500000,-30.1,-177.6,32.5,5.4
272,2016-01-14 11:04:54,-15.6,-177.2,10.0,5.8
273,2015-09-19 13:09:33.800000,-30.5,-72.2,10.0,5.6
274,2016-01-06 01:30:37.500000,41.3,129.0,0.0,5.1
275,2016-01-08 14:46:04.800000,-29.1,-111.8,15.0,5.0
276,2015-11-14 10:22:18.400000,37.9,143.9,27.4,5.2
277,2016-01-19 16:54:59.800000,-22.9,171.5,10.0,5.3
278,2015-12-30 02:59:12.500000,-34.4,-109.4,10.0,5.0
279,2015-12-06 19:17:13,-48.2,-10.1,10.0,5.0
280,2015-09-18 09:11:20.700000,-32.4,-72.2,8.0,6.2
281,2016-01-19 02:14:03.200000,22.9,121.3,27.1,5.6
282,2015-10-12 07:24:01.800000,11.9,57.8,10.0,5.2
283,2015-09-17 05:45:16,-31.8,-72.1,10.0,5.5
284,2015-12-04 04:26:26.800000,21.5,145.7,10.0,5.4
285,2015-11-21 09:06:48.100000,-7.2,129.9,67.3,6.1
286,2016-01-11 23:40:09.600000,-7.0,128.0,251.3,5.2
287,2015-11-14 05:26:11.500000,7.2,-34.3,10.0,5.3
288,2015-11-19 13:50:20.700000,-7.6,-13.6,10.0,5.2
289,2016-01-05 20:36:52.700000,10.1,126.2,19.1,5.2
290,2015-11-13 06:55:25.100000,-8.5,-75.9,117.6,5.0
291,2015-10-22 17:48:18.100000,17.9,147.2,4.2,5.3
292,2015-12-13 01:52:53.700000,46.7,152.6,56.7,5.3
293,2015-12-15 13:30:12,-15.6,167.3,28.5,5.2
294,2015-11-02 13:41:12.200000,32.1,69.6,44.7,5.0
295,2016-01-06 13:19:31.600000,15.4,-95.2,10.0,5.3
296,2016-01-14 12:16:05.500000,-53.3,159.8,10.0,5.5
297,2015-11-14 20:35:05.300000,31.3,128.9,10.0,5.1
298,2015-12-07 02:55:15.700000,-17.7,-174.4,10.0,5.2
299,2015-12-06 19:52:11.500000,-10.6,164.1,38.9,5.4
300,2015-11-24 09:14:52,-31.8,-72.2,39.1,5.0
301,2016-01-02 08:37:58.500000,36.5,70.9,189.0,5.2
302,2016-01-05 09:34:50,-54.3,-136.3,10.0,6.0
303,2015-10-12 03:15:55.200000,-31.2,-71.8,21.0,5.6
304,2015-10-12 03:32:08.300000,-31.2,-71.8,19.6,5.0
305,2015-10-22 01:17:46.300000,-60.3,-45.4,15.3,5.3
306,2015-10-22 07:51:05.900000,-27.9,74.0,10.0,5.0
307,2015-10-06 09:21:59.700000,12.1,-89.0,29.6,5.1
308,2015-11-02 16:37:23.700000,-7.0,129.7,109.6,5.2
309,2015-10-18 13:00:56,2.9,126.5,42.6,5.0
310,2015-10-24 21:25:21.300000,-31.4,-71.5,39.9,5.0
311,2015-11-20 23:26:17.400000,-11.6,165.5,10.0,5.1
312,2015-10-01 22:50:06.600000,-16.3,-173.9,91.5,5.4
313,2016-01-14 13:15:25.200000,9.7,126.3,35.0,5.6
314,2015-11-16 11:05:04.600000,-26.5,67.8,10.0,5.0
315,2016-01-01 23:05:29.300000,-20.5,-179.2,655.8,5.0
316,2015-11-22 18:16:40.700000,36.4,71.4,102.0,5.7
317,2016-01-05 22:00:26.200000,22.0,143.7,158.4,5.9
318,2015-10-30 11:27:19.400000,25.1,99.6,24.6,5.2
319,2016-01-13 20:35:34.800000,32.7,91.6,10.0,5.2
320,2016-01-13 21:18:50.500000,42.2,84.3,10.0,5.1
321,2015-11-12 17:29:15.100000,51.5,-175.1,39.4,5.2
322,2015-10-24 17:31:55.400000,-30.2,-179.3,313.7,5.5
323,2015-09-17 13:33:02,-32.1,-72.4,10.0,5.9
324,2015-12-30 03:26:11.300000,14.2,-91.1,88.4,5.0
325,2015-12-17 21:32:15.600000,48.0,146.9,443.4,5.4
326,2015-12-12 23:33:30.900000,-41.1,-90.1,10.0,5.5
327,2016-01-13 07:53:16.800000,12.2,125.6,83.0,5.0
328,2015-11-13 06:04:53.200000,-29.9,-64.5,27.0,5.6
329,2015-10-23 00:28:15.600000,29.6,70.3,11.0,5.6
330,2015-10-23 01:40:42.300000,-54.2,6.2,11.0,6.2
331,2015-11-28 22:33:26.300000,3.8,126.9,23.8,5.4
332,2015-12-09 12:58:37.800000,-16.7,175.2,10.0,6.1
333,2015-12-09 13:33:32.100000,-15.2,-177.8,401.5,5.3
334,2016-01-05 05:29:06.200000,-6.0,130.6,130.3,5.2
335,2015-11-11 23:36:55.200000,-7.2,128.9,126.0,5.8
336,2015-09-16 15:23:00.100000,-6.1,151.5,10.0,5.3
337,2015-12-16 20:39:13.100000,-19.6,-174.9,37.3,5.3
338,2015-12-09 14:57:34,-4.1,129.5,10.0,5.4
339,2015-12-09 14:14:37.400000,-4.1,129.6,10.0,5.4
340,2015-10-23 04:04:54.100000,-45.8,37.2,10.0,6.0
341,2015-09-25 22:59:16.300000,17.0,145.9,16.0,5.2
342,2015-10-30 10:27:36.800000,-6.2,130.0,141.9,5.1
343,2015-12-09 16:36:20.700000,-4.1,129.5,26.8,5.0
344,2015-09-17 20:25:11.500000,-32.3,-71.9,16.4,5.0
345,2016-01-11 22:20:32.300000,-23.1,179.1,552.5,5.3
346,2016-01-13 05:56:38.200000,-15.2,-174.9,263.0,5.9
347,2015-12-26 22:11:53.300000,10.0,126.0,58.3,5.2
348,2015-11-11 22:18:35.500000,1.6,127.3,96.7,5.2
349,2015-09-16 13:09:35.100000,24.3,121.8,16.7,5.2
350,2015-12-03 14:31:49.100000,22.6,121.4,23.3,5.1
351,2015-11-09 23:54:50.400000,51.4,-172.9,44.4,5.0
352,2015-11-15 05:12:31.100000,-24.8,-175.8,35.0,5.0
353,2015-12-09 19:18:14.300000,38.4,72.9,10.0,5.0
354,2015-11-16 03:32:18.200000,52.1,173.6,31.3,5.1
355,2016-01-05 02:21:48.600000,30.6,132.8,10.0,5.8
356,2015-12-09 21:53:18.200000,-37.7,51.3,10.0,5.3
